sku_id,location_name,at site,,at transit,at wh,sales_30_days,sales_60_days,sales_90_days,sku name,catalog_price,brands,category,assortment_group,markets,seasons,styles,size,department_name,department_external_id,product_name
P00148-00206A-201-06,Store #28,0,,0,0,0,0,0,PLAYERA INFANTIL PREMIUM - SF TIPO MARK BIG A 201-AZUL 6,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2023,MANGA CORTA,6,Linea,2,PLAYERA INFANTIL PREMIUM - SF TIPO MARK BIG A 201-AZUL
P99898-00764A-066-06,Store #29,0,,0,0,0,0,0,PLAY ÑO RANGLAN - SF TEXTURA TIKI A 066-GRIS 6,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2021,MANGA CORTA,6,Moda,1,PLAY ÑO RANGLAN - SF TEXTURA TIKI A 066-GRIS
P20416-02728A-018-08,Store #2,0,,0,0,0,0,0,PLAYERA NIÑO 2 TONOS - SF CUADROS PLAYA A 018-AZUL 8,359,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA CORTA,8,Moda,1,PLAYERA NIÑO 2 TONOS - SF CUADROS PLAYA A 018-AZUL
P00148-16920A-201-08,Store #2,0,,0,0,0,0,0,PLAYERA INFANTIL PREMIUM - SF MEETING A 201-AZUL 8,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL,PRIMAVERA 2017,MANGA CORTA,8,Linea,2,PLAYERA INFANTIL PREMIUM - SF MEETING A 201-AZUL
P00130-02813A-173-63,Store #16,0,,0,0,0,1,6,PLAYERA BÁSICA INFANTIL - SF LUCHAS A 173-NEGRO L,209,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2024,MANGA CORTA,L,Linea,2,PLAYERA BÁSICA INFANTIL - SF LUCHAS A 173-NEGRO
P20416-03016A-023-08,Store #15,2,,0,23,1,1,1,PLAYERA NIÑO 2 TONOS - SF CRAYOLA SKETCH A 023-BLANCO 8,359,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2025,MANGA CORTA,8,Moda,1,PLAYERA NIÑO 2 TONOS - SF CRAYOLA SKETCH A 023-BLANCO
P00148-18429A-211-06,Store #23,0,,0,0,0,0,0,PLAYERA INFANTIL PREMIUM - SF TIPO COMICA A 211-ROJO 6,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2018,MANGA CORTA,6,Linea,2,PLAYERA INFANTIL PREMIUM - SF TIPO COMICA A 211-ROJO
P91165-01652A-081-10,Store #30,0,,0,0,0,0,0,PLAY ÑO BICOLOR - SF URBAN SPORT TEXTURE A 081-GRIS/VDE 10,329,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2022,MANGA CORTA,10,Moda,1,PLAY ÑO BICOLOR - SF URBAN SPORT TEXTURE A 081-GRIS/VDE
P73278-15104A-145-04,Store #23,0,,0,0,0,0,0,PLAYERA NIÑO ALGODÓN - SF KICK A 145-AZUL 4,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL,INVIERNO 2023,MANGA CORTA,4,Linea,2,PLAYERA NIÑO ALGODÓN - SF KICK A 145-AZUL
P00130-02951A-223-64,Store #21,0,,0,0,0,0,0,PLAYERA BÁSICA INFANTIL - SF FROGENCIO 83 FL A 223-VERDE M,199,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA CORTA,M,Linea,2,PLAYERA BÁSICA INFANTIL - SF FROGENCIO 83 FL A 223-VERDE
P00148-03006A-173-10,Store #2,0,,0,0,0,0,0,PLAYERA INFANTIL PREMIUM - SF BASKET FLAME A 173-NEGRO 10,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2024,MANGA CORTA,10,Linea,2,PLAYERA INFANTIL PREMIUM - SF BASKET FLAME A 173-NEGRO
P73278-02965A-014-08,Store #19,1,,0,0,0,0,0,PLAYERA NIÑO ALGODÓN - SF AUTHENTIC SKETCH A 014-AZUL 8,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2025,MANGA CORTA,8,Linea,2,PLAYERA NIÑO ALGODÓN - SF AUTHENTIC SKETCH A 014-AZUL
P73278-02608A-383-06,Store #7,0,,0,0,0,0,0,PLAYERA NIÑO ALGODÓN - SF SURF PARCHE A 383-BEIGE 6,159,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2023,MANGA CORTA,6,Linea,2,PLAYERA NIÑO ALGODÓN - SF SURF PARCHE A 383-BEIGE
P00130-02951A-223-64,Store #14,0,,0,0,0,0,0,PLAYERA BÁSICA INFANTIL - SF FROGENCIO 83 FL A 223-VERDE M,199,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA CORTA,M,Linea,2,PLAYERA BÁSICA INFANTIL - SF FROGENCIO 83 FL A 223-VERDE
P73278-15104A-145-10,Store #16,0,,0,0,0,0,0,PLAYERA NIÑO ALGODÓN - SF KICK A 145-AZUL 10,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL,INVIERNO 2023,MANGA CORTA,10,Linea,2,PLAYERA NIÑO ALGODÓN - SF KICK A 145-AZUL
