sku_id,location_id,crnt_site_qty,crnt_transit_qty,crnt_source_location_site_qty,sales_30_days,sales_60_days,sales_90_days,sku.name,sku.external_id,catalog_cost,catalog_price,brands,category,assortment_group,markets,seasons,styles,size,department_name,product_name,loc.name
2c176f2e-7ffa-5f2d-8036-ec7fdb4c2546,7f9a10e5-ce48-5b80-8090-b192cf52640f,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE PREMIUM FIT - PERSONALIZADO MARINO A 120-AZUL M,P00151-19996A-120-64,0.000,339.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,PRIMAVERA 2024,MANGA CORTA,M,Linea,PLAYERA HOMBRE PREMIUM FIT - PERSONALIZADO MARINO A 120-AZUL,ALMACEN CANCUN
390b48b3-5d65-528d-865f-85541db344ae,30926152-fa7a-5485-8639-fa222de0d3f1,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE 2 FIBRAS - SF SURF UNIVERSITY A 241-VINO L,P00156-06874A-241-63,0.000,429.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,PRIMAVERA 2023,MANGA CORTA,L,Linea,PLAYERA HOMBRE 2 FIBRAS - SF SURF UNIVERSITY A 241-VINO,M06
d2bdd42d-1901-57e7-8d7f-601b180124ba,9e6158f0-778f-5cae-8b6c-05449b191eca,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA BÁSICA ALGODÓN - SF VALLARTA ANDE A 023-BLANCO M,P00122-19083A-023-64,66.990,299.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE,VERANO 2018,MANGA CORTA,M,Linea,PLAYERA BÁSICA ALGODÓN - SF VALLARTA ANDE A 023-BLANCO,PUNTA LANGOSTA
23ed2677-4f16-5306-a662-fd7a14dabf05,14d0eb14-64d3-59cb-9cd9-a466f778bb91,0.000,0.000,0.000,0.000,0.000,0.000,PLAY H JASPE C RED - SF TWILL A 121-MARINO JASPE L,P79976-03385A-121-63,0.000,329.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2025,MANGA CORTA,L,Linea,PLAY H JASPE C RED - SF TWILL A 121-121,ISLA
75cf19fa-bc4d-5d6b-9e57-eac0fd5e702e,ced68410-d6ac-54d2-ada5-1061fc8d2322,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA BÁSICA ALGODÓN - SF SANA DISTANCIA A 265-GRIS 2X,P00122-00496A-265-66,0.000,249.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2021,MANGA CORTA,2X,Linea,PLAYERA BÁSICA ALGODÓN - SF SANA DISTANCIA A 265-GRIS,ALMACEN VALLARTA
8eacbef1-d7c3-5685-9db7-3b9e9eb7e14e,3aef7a25-bde0-590e-9940-528e8f31da03,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA H RANGLAN - SF BASEBALL OUT A 075-GRIS L,P08242-04066A-075-63,112.980,329.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE,VERANO 2023,MANGA CORTA,L,Linea,PLAYERA H RANGLAN - SF BASEBALL OUT A 075-GRIS,ALMACEN COZUMEL
8017404f-e603-58df-8743-9371bc55e03a,eaad50e3-8fab-54c7-86b4-62bdbd1a8952,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA BÁSICA ALGODÓN - SF CHENTE A 173-NEGRO 2X,P00122-01785A-173-66,0.000,249.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,INVIERNO 2022,MANGA CORTA,2X,Linea,PLAYERA BÁSICA ALGODÓN - SF CHENTE A 173-NEGRO,ISLA MUJERES
f16461e0-672f-5787-a48f-32e3aab0d4d0,0754002b-418b-598b-bb00-bfb5b5c67fec,0.000,0.000,130.000,0.000,0.000,0.000,PLAYERA BÁSICA ALGODÓN - SF RELAX TIME A 023-BLANCO XL,P00122-03182A-023-69,67.020,289.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2025,MANGA CORTA,XL,Linea,PLAYERA BÁSICA ALGODÓN - SF RELAX TIME A 023-BLANCO,M02
e241ece1-a34c-5374-aec4-071eb1d251f5,d19cda86-e40a-50b7-844c-53c5c679ad38,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA ADOLESCENTE PREMIUM - SF SPRING BREAK 24 A 023-BLANCO L,P00141-02471A-023-63,109.650,349.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE ADOLESCENTE MASCULINO,PRIMAVERA 2024,MANGA CORTA,L,Linea,PLAYERA ADOLESCENTE PREMIUM - SF SPRING BREAK 24 A 023-BLANCO,PLAYA 1
48826e35-6177-5f92-8d52-c227f8575410,2a96238c-52ca-5ab4-b96c-ea62436baeac,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA BÁSICA ALGODÓN - SF ANDERSON DRINKING TEAM P15 A 173-NEGRO M,P00122-06947A-173-64,69.910,319.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE,VERANO 2019,MANGA CORTA,M,Linea,PLAYERA BÁSICA ALGODÓN - SF ANDERSON DRINKING TEAM P15 A 173-NEGRO,PV6
